"m49cd","ISO3","Area","UN Region","EBRD Region"
"'012","DZA","Algeria","Northern Africa",NA
"'818","EGY","Egypt","Northern Africa","Southern and eastern Mediterranean"
"'434","LBY","Libya","Northern Africa",NA
"'504","MAR","Morocco","Northern Africa","Southern and eastern Mediterranean"
"'729","SDN","Sudan","Northern Africa",NA
"'788","TUN","Tunisia","Northern Africa","Southern and eastern Mediterranean"
"'732","ESH","Western Sahara","Northern Africa",NA
"'086","IOT","British Indian Ocean Territory","Eastern Africa",NA
"'108","BDI","Burundi","Eastern Africa",NA
"'174","COM","Comoros","Eastern Africa",NA
"'262","DJI","Djibouti","Eastern Africa",NA
"'232","ERI","Eritrea","Eastern Africa",NA
"'231","ETH","Ethiopia","Eastern Africa",NA
"'260","ATF","French Southern Territories","Eastern Africa",NA
"'404","KEN","Kenya","Eastern Africa","Sub-Saharan Africa"
"'450","MDG","Madagascar","Eastern Africa",NA
"'454","MWI","Malawi","Eastern Africa",NA
"'480","MUS","Mauritius","Eastern Africa",NA
"'175","MYT","Mayotte","Eastern Africa",NA
"'508","MOZ","Mozambique","Eastern Africa",NA
"'638","REU","Réunion","Eastern Africa",NA
"'646","RWA","Rwanda","Eastern Africa",NA
"'690","SYC","Seychelles","Eastern Africa",NA
"'706","SOM","Somalia","Eastern Africa",NA
"'728","SSD","South Sudan","Eastern Africa",NA
"'800","UGA","Uganda","Eastern Africa",NA
"'834","TZA","United Republic of Tanzania","Eastern Africa",NA
"'894","ZMB","Zambia","Eastern Africa",NA
"'716","ZWE","Zimbabwe","Eastern Africa",NA
"'024","AGO","Angola","Middle Africa",NA
"'120","CMR","Cameroon","Middle Africa",NA
"'140","CAF","Central African Republic","Middle Africa",NA
"'148","TCD","Chad","Middle Africa",NA
"'178","COG","Congo","Middle Africa",NA
"'180","COD","Democratic Republic of the Congo","Middle Africa",NA
"'226","GNQ","Equatorial Guinea","Middle Africa",NA
"'266","GAB","Gabon","Middle Africa",NA
"'678","STP","Sao Tome and Principe","Middle Africa",NA
"'072","BWA","Botswana","Southern Africa",NA
"'748","SWZ","Eswatini","Southern Africa",NA
"'426","LSO","Lesotho","Southern Africa",NA
"'516","NAM","Namibia","Southern Africa",NA
"'710","ZAF","South Africa","Southern Africa",NA
"'204","BEN","Benin","Western Africa","Sub-Saharan Africa"
"'854","BFA","Burkina Faso","Western Africa",NA
"'132","CPV","Cabo Verde","Western Africa",NA
"'384","CIV","Côte d’Ivoire","Western Africa","Sub-Saharan Africa"
"'270","GMB","Gambia","Western Africa",NA
"'288","GHA","Ghana","Western Africa","Sub-Saharan Africa"
"'324","GIN","Guinea","Western Africa",NA
"'624","GNB","Guinea-Bissau","Western Africa",NA
"'430","LBR","Liberia","Western Africa",NA
"'466","MLI","Mali","Western Africa",NA
"'478","MRT","Mauritania","Western Africa",NA
"'562","NER","Niger","Western Africa",NA
"'566","NGA","Nigeria","Western Africa","Sub-Saharan Africa"
"'654","SHN","Saint Helena","Western Africa",NA
"'686","SEN","Senegal","Western Africa","Sub-Saharan Africa"
"'694","SLE","Sierra Leone","Western Africa",NA
"'768","TGO","Togo","Western Africa",NA
"'660","AIA","Anguilla","Caribbean",NA
"'028","ATG","Antigua and Barbuda","Caribbean",NA
"'533","ABW","Aruba","Caribbean",NA
"'044","BHS","Bahamas","Caribbean",NA
"'052","BRB","Barbados","Caribbean",NA
"'535","BES","Bonaire, Sint Eustatius and Saba","Caribbean",NA
"'092","VGB","British Virgin Islands","Caribbean",NA
"'136","CYM","Cayman Islands","Caribbean",NA
"'192","CUB","Cuba","Caribbean",NA
"'531","CUW","Curaçao","Caribbean",NA
"'212","DMA","Dominica","Caribbean",NA
"'214","DOM","Dominican Republic","Caribbean",NA
"'308","GRD","Grenada","Caribbean",NA
"'312","GLP","Guadeloupe","Caribbean",NA
"'332","HTI","Haiti","Caribbean",NA
"'388","JAM","Jamaica","Caribbean",NA
"'474","MTQ","Martinique","Caribbean",NA
"'500","MSR","Montserrat","Caribbean",NA
"'630","PRI","Puerto Rico","Caribbean",NA
"'652","BLM","Saint Barthélemy","Caribbean",NA
"'659","KNA","Saint Kitts and Nevis","Caribbean",NA
"'662","LCA","Saint Lucia","Caribbean",NA
"'663","MAF","Saint Martin (French Part)","Caribbean",NA
"'670","VCT","Saint Vincent and the Grenadines","Caribbean",NA
"'534","SXM","Sint Maarten (Dutch part)","Caribbean",NA
"'780","TTO","Trinidad and Tobago","Caribbean",NA
"'796","TCA","Turks and Caicos Islands","Caribbean",NA
"'850","VIR","United States Virgin Islands","Caribbean",NA
"'084","BLZ","Belize","Central America",NA
"'188","CRI","Costa Rica","Central America",NA
"'222","SLV","El Salvador","Central America",NA
"'320","GTM","Guatemala","Central America",NA
"'340","HND","Honduras","Central America",NA
"'484","MEX","Mexico","Central America",NA
"'558","NIC","Nicaragua","Central America",NA
"'591","PAN","Panama","Central America",NA
"'032","ARG","Argentina","South America",NA
"'068","BOL","Bolivia (Plurinational State of)","South America",NA
"'074","BVT","Bouvet Island","South America",NA
"'076","BRA","Brazil","South America",NA
"'152","CHL","Chile","South America",NA
"'170","COL","Colombia","South America",NA
"'218","ECU","Ecuador","South America",NA
"'238","FLK","Falkland Islands (Malvinas)","South America",NA
"'254","GUF","French Guiana","South America",NA
"'328","GUY","Guyana","South America",NA
"'600","PRY","Paraguay","South America",NA
"'604","PER","Peru","South America",NA
"'239","SGS","South Georgia and the South Sandwich Islands","South America",NA
"'740","SUR","Suriname","South America",NA
"'858","URY","Uruguay","South America",NA
"'862","VEN","Venezuela (Bolivarian Republic of)","South America",NA
"'060","BMU","Bermuda","Northern America",NA
"'124","CAN","Canada","Northern America",NA
"'304","GRL","Greenland","Northern America",NA
"'666","SPM","Saint Pierre and Miquelon","Northern America",NA
"'840","USA","United States of America","Northern America",NA
"'010","ATA","Antarctica",NA,NA
"'398","KAZ","Kazakhstan","Central Asia","Central Asia"
"'417","KGZ","Kyrgyzstan","Central Asia","Central Asia"
"'762","TJK","Tajikistan","Central Asia","Central Asia"
"'795","TKM","Turkmenistan","Central Asia","Central Asia"
"'860","UZB","Uzbekistan","Central Asia","Central Asia"
"'156","CHN","China","Eastern Asia",NA
"'344","HKG","China, Hong Kong Special Administrative Region","Eastern Asia",NA
"'446","MAC","China, Macao Special Administrative Region","Eastern Asia",NA
"'408","PRK","Democratic People's Republic of Korea","Eastern Asia",NA
"'392","JPN","Japan","Eastern Asia",NA
"'496","MNG","Mongolia","Eastern Asia","Central Asia"
"'410","KOR","Republic of Korea","Eastern Asia",NA
"'096","BRN","Brunei Darussalam","South-eastern Asia",NA
"'116","KHM","Cambodia","South-eastern Asia",NA
"'360","IDN","Indonesia","South-eastern Asia",NA
"'418","LAO","Lao People's Democratic Republic","South-eastern Asia",NA
"'458","MYS","Malaysia","South-eastern Asia",NA
"'104","MMR","Myanmar","South-eastern Asia",NA
"'608","PHL","Philippines","South-eastern Asia",NA
"'702","SGP","Singapore","South-eastern Asia",NA
"'764","THA","Thailand","South-eastern Asia",NA
"'626","TLS","Timor-Leste","South-eastern Asia",NA
"'704","VNM","Viet Nam","South-eastern Asia",NA
"'004","AFG","Afghanistan","Southern Asia",NA
"'050","BGD","Bangladesh","Southern Asia",NA
"'064","BTN","Bhutan","Southern Asia",NA
"'356","IND","India","Southern Asia",NA
"'364","IRN","Iran (Islamic Republic of)","Southern Asia",NA
"'462","MDV","Maldives","Southern Asia",NA
"'524","NPL","Nepal","Southern Asia",NA
"'586","PAK","Pakistan","Southern Asia",NA
"'144","LKA","Sri Lanka","Southern Asia",NA
"'051","ARM","Armenia","Western Asia","Eastern Europe and the Caucasus"
"'031","AZE","Azerbaijan","Western Asia","Eastern Europe and the Caucasus"
"'048","BHR","Bahrain","Western Asia",NA
"'196","CYP","Cyprus","Western Asia",NA
"'268","GEO","Georgia","Western Asia","Eastern Europe and the Caucasus"
"'368","IRQ","Iraq","Western Asia","Southern and eastern Mediterranean"
"'376","ISR","Israel","Western Asia",NA
"'400","JOR","Jordan","Western Asia","Southern and eastern Mediterranean"
"'414","KWT","Kuwait","Western Asia",NA
"'422","LBN","Lebanon","Western Asia","Southern and eastern Mediterranean"
"'512","OMN","Oman","Western Asia",NA
"'634","QAT","Qatar","Western Asia",NA
"'682","SAU","Saudi Arabia","Western Asia",NA
"'275","PSE","State of Palestine","Western Asia",NA
"'760","SYR","Syrian Arab Republic","Western Asia",NA
"'792","TUR","Türkiye","Western Asia","Türkiye"
"'784","ARE","United Arab Emirates","Western Asia",NA
"'887","YEM","Yemen","Western Asia",NA
"'112","BLR","Belarus","Eastern Europe",NA
"'100","BGR","Bulgaria","Eastern Europe","South-eastern Europe"
"'203","CZE","Czechia","Eastern Europe","Central Europe and the Baltic States"
"'348","HUN","Hungary","Eastern Europe","Central Europe and the Baltic States"
"'616","POL","Poland","Eastern Europe","Central Europe and the Baltic States"
"'498","MDA","Republic of Moldova","Eastern Europe","Eastern Europe and the Caucasus"
"'642","ROU","Romania","Eastern Europe","South-eastern Europe"
"'643","RUS","Russian Federation","Eastern Europe",NA
"'703","SVK","Slovakia","Eastern Europe","Central Europe and the Baltic States"
"'804","UKR","Ukraine","Eastern Europe","Eastern Europe and the Caucasus"
"'248","ALA","Åland Islands","Northern Europe",NA
"'208","DNK","Denmark","Northern Europe",NA
"'233","EST","Estonia","Northern Europe","Central Europe and the Baltic States"
"'234","FRO","Faroe Islands","Northern Europe",NA
"'246","FIN","Finland","Northern Europe",NA
"'831","GGY","Guernsey","Northern Europe",NA
"'352","ISL","Iceland","Northern Europe",NA
"'372","IRL","Ireland","Northern Europe",NA
"'833","IMN","Isle of Man","Northern Europe",NA
"'832","JEY","Jersey","Northern Europe",NA
"'428","LVA","Latvia","Northern Europe","Central Europe and the Baltic States"
"'440","LTU","Lithuania","Northern Europe","Central Europe and the Baltic States"
"'578","NOR","Norway","Northern Europe",NA
"'744","SJM","Svalbard and Jan Mayen Islands","Northern Europe",NA
"'752","SWE","Sweden","Northern Europe",NA
"'826","GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe",NA
"'008","ALB","Albania","Southern Europe","South-eastern Europe"
"'020","AND","Andorra","Southern Europe",NA
"'070","BIH","Bosnia and Herzegovina","Southern Europe","South-eastern Europe"
"'191","HRV","Croatia","Southern Europe","Central Europe and the Baltic States"
"'292","GIB","Gibraltar","Southern Europe",NA
"'300","GRC","Greece","Southern Europe",NA
"'336","VAT","Holy See","Southern Europe",NA
"'380","ITA","Italy","Southern Europe",NA
"'470","MLT","Malta","Southern Europe",NA
"'499","MNE","Montenegro","Southern Europe","South-eastern Europe"
"'807","MKD","North Macedonia","Southern Europe","South-eastern Europe"
"'620","PRT","Portugal","Southern Europe",NA
"'674","SMR","San Marino","Southern Europe",NA
"'688","SRB","Serbia","Southern Europe","South-eastern Europe"
"'705","SVN","Slovenia","Southern Europe","Central Europe and the Baltic States"
"'724","ESP","Spain","Southern Europe",NA
"'040","AUT","Austria","Western Europe",NA
"'056","BEL","Belgium","Western Europe",NA
"'250","FRA","France","Western Europe",NA
"'276","DEU","Germany","Western Europe",NA
"'438","LIE","Liechtenstein","Western Europe",NA
"'442","LUX","Luxembourg","Western Europe",NA
"'492","MCO","Monaco","Western Europe",NA
"'528","NLD","Netherlands (Kingdom of the)","Western Europe",NA
"'756","CHE","Switzerland","Western Europe",NA
"'036","AUS","Australia","Australia and New Zealand",NA
"'162","CXR","Christmas Island","Australia and New Zealand",NA
"'166","CCK","Cocos (Keeling) Islands","Australia and New Zealand",NA
"'334","HMD","Heard Island and McDonald Islands","Australia and New Zealand",NA
"'554","NZL","New Zealand","Australia and New Zealand",NA
"'574","NFK","Norfolk Island","Australia and New Zealand",NA
"'242","FJI","Fiji","Melanesia",NA
"'540","NCL","New Caledonia","Melanesia",NA
"'598","PNG","Papua New Guinea","Melanesia",NA
"'090","SLB","Solomon Islands","Melanesia",NA
"'548","VUT","Vanuatu","Melanesia",NA
"'316","GUM","Guam","Micronesia",NA
"'296","KIR","Kiribati","Micronesia",NA
"'584","MHL","Marshall Islands","Micronesia",NA
"'583","FSM","Micronesia (Federated States of)","Micronesia",NA
"'520","NRU","Nauru","Micronesia",NA
"'580","MNP","Northern Mariana Islands","Micronesia",NA
"'585","PLW","Palau","Micronesia",NA
"'581","UMI","United States Minor Outlying Islands","Micronesia",NA
"'016","ASM","American Samoa","Polynesia",NA
"'184","COK","Cook Islands","Polynesia",NA
"'258","PYF","French Polynesia","Polynesia",NA
"'570","NIU","Niue","Polynesia",NA
"'612","PCN","Pitcairn","Polynesia",NA
"'882","WSM","Samoa","Polynesia",NA
"'772","TKL","Tokelau","Polynesia",NA
"'776","TON","Tonga","Polynesia",NA
"'798","TUV","Tuvalu","Polynesia",NA
"'876","WLF","Wallis and Futuna Islands","Polynesia",NA
"'001",NA,"World",NA,NA
"'002",NA,"Africa",NA,NA
"'019",NA,"Americas",NA,NA
"'142",NA,"Asia",NA,NA
"'150",NA,"Europe",NA,NA
"'009",NA,"Oceania",NA,NA
"'015",NA,"Northern Africa",NA,NA
"'202",NA,"Sub-Saharan Africa",NA,NA
"'419",NA,"Latin America and the Caribbean",NA,NA
"'021",NA,"Northern America",NA,NA
"'143",NA,"Central Asia",NA,NA
"'030",NA,"Eastern Asia",NA,NA
"'035",NA,"South-eastern Asia",NA,NA
"'034",NA,"Southern Asia",NA,NA
"'145",NA,"Western Asia",NA,NA
"'151",NA,"Eastern Europe",NA,NA
"'154",NA,"Northern Europe",NA,NA
"'039",NA,"Southern Europe",NA,NA
"'155",NA,"Western Europe",NA,NA
"'053",NA,"Australia and New Zealand",NA,NA
"'054",NA,"Melanesia",NA,NA
"'057",NA,"Micronesia",NA,NA
"'061",NA,"Polynesia",NA,NA
"'014",NA,"Eastern Africa",NA,NA
"'017",NA,"Middle Africa",NA,NA
"'018",NA,"Southern Africa",NA,NA
"'011",NA,"Western Africa",NA,NA
"'029",NA,"Caribbean",NA,NA
"'013",NA,"Central America",NA,NA
"'005",NA,"South America",NA,NA
